Name,URL,Global Alexa,Country,Tags
Ian Dunn,,99999999,,
Dropbox,www.dropbox.com,81,USA,"data storage,cloud,content sharing"
Skyport Systems,https://www.skyportsystems.net,2378378,USA,"infustracture,security"
Hubdia,hubdia.com,14631040,Unknown,"data integration,search engine"
Faceless,http://www.delight.im/get/faceless,99999999,,
Flox,flox.io,1504469,USA,"social network,site builder"
Informatica,www.informatica.com,28342,USA,"data integration,cloud"
Zaption,http://www.zaption.com,151799,USA,"video,content sharing,education"
jsDelivr,www.jsdelivr.com,147214,Unknown,"software development,knowledge"
Square Open Source,https://github.com/square,99999999,,
Robinhood,https://www.robinhood.com/,48129,USA,"trading,mobile,finance"
Romit,wallet.romit.io,1906265,Turkey,"payment,bitcoin"
MapLogin,https://tildexe.appspot.com/,3007850,USA,"authentication,security"
Nearby Live,https://www.wnmlive.com/,486167,USA,"mobile,social network"
ExpressionEngine,ellislab.com,7841,USA,site builder
Greenhouse.io,greenhouse.io,6807,USA,hr
Twitter,twitter.com,8,USA,social network
DigitalSellz,www.digitalsellz.com,978494,USA,"ecommerce,content sharing"
StopTheHacker,www.stopthehacker.com,149121,USA,"web scanner,security"
Ubiquiti Networks,www.ubnt.com,12356,USA,telecommunication
WP API,http://wp-api.org/,148842,,"wordpress,api"
Factlink,staging.factlink.com,9741870,The Netherlands,"social network,knowledge"
Snapchat,www.snapchat.com,7758,USA,"social network,communication"
Adobe,www.adobe.com,87,USA,"design,cloud,data analytics,document processing"
Khan Academy,www.khanacademy.org,1662,USA,"content sharing,education"
LibSass,,99999999,,
joola.io,http://github.com/joola/joola.io,99999999,,
Udemy,http://udemy.com,680,USA,"content sharing,education"
GhostMail,www.ghostmail.com,987750,UK,communication
WePay,www.wepay.com,29696,USA,payment
WordPoints,wordpoints.org,5487354,Unknown,wordpress
itBit Exchange,www.itbit.com,400146,USA,"trading,bitcoin"
C2FO,c2fo.com,305451,USA,"trading,finance"
Keybase,keybase.io,116770,USA,"data integration,social network,security"
Respondly,respond.ly,252410,USA,customer management
Uzbey,https://staging.uzbey.com,99999999,,
Urban Dictionary,www.urbandictionary.com,512,USA,knowledge
Trello,trello.com,336,USA,"project management,collaboration"
Mobile Vikings,vikingco.com,262404,Belgium,communication
IRCCloud,www.irccloud.com,62448,USA,"im,communication"
Sucuri,sucuri.net,5405,USA,"security,web protection"
Zendesk,https://www.zendesk.com,356,USA,customer management
FanFootage,fanfootage.com,3364988,USA,"art,video"
Taptalk,https://taptalk.me,1596338,USA,"mobile,communication"
RelateIQ,www.relateiq.com,20831,USA,customer management
CloudFlare,www.cloudflare.com,1338,USA,"internet traffic,security"
QIWI,qiwi.com,3079,Russia,payment
Zopim,https://www.zopim.com,1649,Singapore,customer management
Marktplaats,www.marktplaats.nl,934,The Netherlands,ecommerce
Kadira,kadira.io,182244,USA,monitoring
Envoy,signwithenvoy.com,193138,USA,hr
leetfiles,leetfil.es,3732906,USA,content sharing
Meteor,www.meteor.com,11282,USA,"software development,app"
Openfolio,openfolio.com,187830,USA,"social network,finance"
Localize,www.localize.im,4911569,Germany,app
GlassWire,www.glasswire.com,259357,USA,"firewall,security,monitoring"
Block.io,block.io,104710,Ukraine,"payment,bitcoin"
Shopify,www.shopify.com,564,USA,"pos,ecommerce,site builder"
Gratipay,gratipay.com,183577,USA,payment
Certly,https://certly.io,11058248,USA,security
Secret,http://secret.ly,99999999,,
Coin.Space,coin.space,2156977,Switzerland,"payment,bitcoin"
ok.ru,ok.ru,59,Russia,"social network,content sharing"
concrete5,www.concrete5.org,20507,USA,site builder
Eobot,www.eobot.com,10008,Russia,"bitcoin mining,bitcoin"
ReddAPI,,99999999,,
Square,squareup.com,2750,USA,"payment,site builder,customer management"
Mail.Ru,mail.ru,51,Russia,"communication,email"
MoneyStream,moneystream.com,230765,USA,"finance,personal finance"
Automattic,automattic.com,21704,USA,"data backup,software engineering,cloud,software development,data collection,wordpress"
Mavenlink,www.mavenlink.com,15005,USA,"data integration,project management,collaboration"
Vimeo,vimeo.com,159,USA,"content sharing,video"
InVision,www.invisionapp.com,2780,USA,"design,collaboration,project management"
Coinbase,www.coinbase.com,5829,USA,"payment,bitcoin"
Airbnb,www.airbnb.com,556,USA,"ecommerce,travel,social network"
99designs,99designs.com,2519,USA,"design,crowdsourcing"
Whisper,whisper.sh,50006,USA,"social network,communication"
Slack,slack.com,551,USA,"im,communication"
Revert,revert.io,447143,USA,"data storage,data backup,cloud,app"
VK.com,https://vk.com,25,Russia,"social network,content sharing"
HackerOne,hackerone.com,41475,USA,"crowdsourcing,security"
HowAboutWe,http://www.howaboutwe.com,67054,USA,"dating,social network"
Bookfresh,https://www.bookfresh.com/,74326,Unknown,calendar
Yahoo!,www.yahoo.com,5,USA,"portal,search,news"
OkCupid,www.okcupid.com,450,USA,"dating,social network"
